Event ID	Event Date	Source Name	Source Sectors	Source Country	Event Text	CAMEO Code	Intensity	Target Name	Target Sectors	Target Country	Story ID	Sentence Number	Publisher	City	District	Province	Country	Latitude	Longitude
37781866	2023-04-06	Emmanuel Macron	Elite,Executive,Executive Office,Government	Andorra	Engage in negotiation	046	7	Xi Jinping	(National) Major Party,Elite,Executive,Executive Office,Government,Government Major Party (In Government),Legislative / Parliamentary,Military,Parties,Unicameral	China	57129548	1	Xinhua News Agency	Beijing		Beijing Shi	China	39.9075	116.397
37781863	2023-04-06	China		China	Express intent to engage in diplomatic cooperation (such as policy support)	032	4.5	France		France	57129548	4	Xinhua News Agency	Beijing		Beijing Shi	China	39.9075	116.397
37781865	2023-04-06	China		China	Praise or endorse	051	3.4	France		France	57129548	5	Xinhua News Agency	Beijing		Beijing Shi	China	39.9075	116.397
37781998	2023-04-06	Lebanon		Lebanon	fight with artillery and tanks	194	-10	Israel		Israel	57129549	3	EFE News Service	Jerusalem		Jerusalem District	Israel	31.769	35.2163
37781995	2023-04-06	Israeli Defense Forces	Government,Military	Israel	Use conventional military force	190	-10	Citizen (Palestinian Territory, Occupied)	General Population / Civilian / Social,Social	Occupied Palestinian Territory	57129549	6	EFE News Service	al-Aqsa Mosque		West Bank	Occupied Palestinian Territory	31.7761	35.2355
37781996	2023-04-06	Citizen (Palestinian Territory, Occupied)	General Population / Civilian / Social,Social	Occupied Palestinian Territory	Use unconventional violence	180	-9	Israeli Defense Forces	Government,Military	Israel	57129549	6	EFE News Service	al-Aqsa Mosque		West Bank	Occupied Palestinian Territory	31.7761	35.2355
37781997	2023-04-06	Militant (Palestinian Territory, Occupied)	Unidentified Forces	Occupied Palestinian Territory	fight with small arms and light weapons	193	-10	Israel		Israel	57129549	6	EFE News Service	al-Aqsa Mosque		West Bank	Occupied Palestinian Territory	31.7761	35.2355
37781742	2023-04-06	Bangladesh		Bangladesh	Return, release person(s)	0841	7	Citizen (Bangladesh)	General Population / Civilian / Social,Social	Bangladesh	57129550	1	EFE News Service	Dhaka	Dhaka District	Dhaka Division	Bangladesh	23.7104	90.4074
37781743	2023-04-06	Ursula von der Leyen	(National) Major Party,Cabinet,Center Right,Christian,Elite,Executive,Government,Ideological,International Religious,Parties	Germany	Appeal to others to meet or negotiate	026	4	Xi Jinping	(National) Major Party,Elite,Executive,Executive Office,Government,Government Major Party (In Government),Legislative / Parliamentary,Military,Parties,Unicameral	China	57129556	1	Unknown				China	39.9075	116.397
37781999	2023-04-06	Emmanuel Macron	Elite,Executive,Executive Office,Government	Andorra	Make a visit	042	1.9	China		China	57129559	3	Unknown				China	39.9075	116.397
